timesteps,episode_reward,episode_length,success
200,-93.83804756727373,200,0
400,-111.30433980072905,200,0
600,-116.51521958562569,200,0
671,-26.082568381574077,71,1
871,-125.9434470274704,200,0
1071,-105.4287764151765,200,0
1271,-113.27992995163575,200,0
1471,-84.08322424682125,200,0
1671,-94.64889347886268,200,0
1871,-100.00313423489075,200,0
1922,-22.10867480115906,51,1
2122,-93.95809591172981,200,0
2322,-109.35989689599135,200,0
2522,-96.4065150985262,200,0
2722,-95.3100804534814,200,0
2922,-92.25536183201817,200,0
3122,-77.25288240555301,200,0
3322,-132.78384317673172,200,0
3522,-87.30151732420494,200,0
3722,-102.27310715955875,200,0
3922,-88.09148017008448,200,0
4122,-89.3795230568827,200,0
4322,-91.70183818885536,200,0
4522,-117.21510403596574,200,0
4722,-112.15710311128616,200,0
4922,-115.05883284073839,200,0
5122,-114.20406318986937,200,0
5322,-84.35801663553919,200,0
5522,-105.60990498599598,200,0
5722,-117.20440966614797,200,0
5922,-129.18714849022632,200,0
6122,-100.62301570514569,200,0
6322,-131.22988450143785,200,0
6522,-93.49795275699614,200,0
6722,-109.50094287188632,200,0
6922,-93.08560742684452,200,0
7122,-97.20133665199874,200,0
7322,-105.26582398275879,200,0
7522,-102.7105222851045,200,0
7722,-111.78213489176154,200,0
7922,-96.98548154740627,200,0
8122,-140.07641222925437,200,0
8279,-89.60708801004645,157,1
8331,-18.74568323413917,52,1
8531,-103.60305670415713,200,0
8731,-108.47443753157727,200,0
8931,-101.05780748570268,200,0
9131,-88.43473212325924,200,0
9331,-90.21992129875255,200,0
9531,-106.98427313223061,200,0
9731,-99.94997106185257,200,0
9931,-84.0134916778545,200,0
10131,-99.93409049905965,200,0
10331,-112.26641487935281,200,0
10531,-101.19432242908019,200,0
10731,-108.01275757334746,200,0
10931,-88.85706361441747,200,0
11131,-98.166712784071,200,0
11331,-88.9620414802427,200,0
11531,-81.79222408310156,200,0
11731,-88.59060202738605,200,0
11931,-130.48002547701026,200,0
12131,-91.29791114645218,200,0
12331,-98.26181514818863,200,0
12531,-115.02185852941332,200,0
12731,-81.5815567775031,200,0
12931,-96.2004326458728,200,0
13131,-123.8260888239866,200,0
13331,-82.33456124858539,200,0
13531,-100.39390010248123,200,0
13731,-84.63645733316068,200,0
13931,-114.95355553658949,200,0
14131,-93.81578195058661,200,0
14331,-98.87018678427425,200,0
14531,-99.09543244430849,200,0
14731,-98.14266936397823,200,0
14931,-127.28187008031438,200,0
15131,-80.30350854223843,200,0
15331,-91.32152199744635,200,0
15531,-91.04175416057525,200,0
15731,-88.02692000064033,200,0
15931,-103.96101941206942,200,0
16131,-83.85459654464242,200,0
16331,-86.56779620659213,200,0
16531,-98.51884333438021,200,1
16731,-89.1391403894821,200,0
16931,-90.38005850053435,200,0
17131,-79.06973149507971,200,0
17331,-94.44985585168129,200,0
17531,-109.24441953373358,200,0
17731,-105.02307389522926,200,0
17931,-101.99051362743289,200,0
18131,-108.62621083215755,200,0
18331,-90.1929687400886,200,0
18531,-77.71743296063111,200,0
18731,-87.7905898340581,200,0
18931,-102.31499615296148,200,0
19131,-90.22969384480791,200,0
19331,-111.53323035344323,200,0
19531,-106.96886294604289,200,0
19731,-103.07794664621707,200,0
19931,-89.36290055337513,200,0
20131,-88.5235711306903,200,0
20274,-47.640984099177984,143,1
20474,-97.24402524838061,200,0
20674,-91.94069204495013,200,0
20874,-89.64213858341971,200,0
20917,-14.542080489299936,43,1
21117,-95.43567774779206,200,0
21317,-118.40966033386418,200,0
21517,-90.91096052205938,200,0
21717,-99.71748554341731,200,0
21917,-99.30890703736247,200,0
22117,-107.69559589279042,200,0
22317,-86.24095485988511,200,0
22517,-98.33257307819242,200,0
22717,-106.76348010136482,200,0
22917,-87.51791599703682,200,0
23117,-74.62084004381124,200,0
23317,-102.31373898948635,200,0
23517,-93.00811222088585,200,0
23717,-128.02503598117394,200,0
23917,-89.61264663854895,200,0
24117,-89.1006072597174,200,0
24317,-76.89095048995866,200,0
24517,-79.89046563114181,200,0
24717,-103.54077487441465,200,0
24917,-101.28850163586318,200,0
25117,-93.30975570738573,200,0
25317,-74.42275728903154,200,0
25517,-78.76685806055174,200,0
25717,-94.41829542543782,200,0
25917,-112.51325337585618,200,0
26117,-111.2067998392861,200,0
26317,-97.83013280946021,200,0
26517,-99.90694561564436,200,0
26717,-87.30779761016301,200,0
26917,-90.24772483900449,200,0
27117,-87.55399352740793,200,0
27317,-95.7694654345382,200,0
27517,-87.28408081316513,200,0
27717,-90.05894506315238,200,0
27917,-97.11726966100936,200,0
28117,-98.31714041740962,200,0
28317,-89.35438117894893,200,0
28517,-86.88775253235603,200,0
28703,-107.06400410899843,186,1
28903,-98.28603243858328,200,0
29103,-82.4604806621227,200,0
29303,-114.38547256238658,200,0
29503,-101.48811721060659,200,0
29703,-89.15141671596137,200,0
29903,-101.62702436902596,200,0
30103,-85.61116192882194,200,0
30303,-83.63322246455516,200,0
30503,-92.0003214827535,200,0
30703,-90.86231761568553,200,0
30903,-82.6827594795742,200,0
31103,-107.507499822825,200,0
31303,-91.15194178573203,200,0
31503,-78.04380808899882,200,0
31703,-142.96975802592715,200,0
31903,-108.90157349043015,200,0
32103,-90.85180601554977,200,0
32303,-72.63836227198632,200,0
32503,-86.30253287697737,200,0
32703,-62.30765077988317,200,0
32903,-116.10347564315539,200,0
33103,-102.11037987785849,200,0
33303,-96.64914251412563,200,0
33503,-107.64624200325352,200,0
33703,-90.89257116768266,200,0
33903,-115.39674688005884,200,0
34103,-98.63345551417419,200,0
34303,-90.41127948094024,200,0
34503,-102.68876447331772,200,0
