timesteps,episode_reward,episode_length,success
200,-99.19816246802631,200,0
358,-108.30714057930389,158,1
558,-101.93995646552332,200,0
758,-109.42487487306472,200,0
958,-93.49244444553973,200,0
1158,-90.68741069951982,200,0
1348,-95.96460961805998,190,1
1548,-192.84604238704924,200,0
1748,-141.61942993456384,200,0
1948,-125.93201849760635,200,0
2148,-122.11040704038027,200,0
2348,-143.00857662224794,200,0
2387,-12.361132891818734,39,1
2587,-108.70824683224316,200,0
2787,-104.54243455700406,200,0
2987,-100.67834440542588,200,0
3187,-160.23185811636552,200,0
3387,-92.99958584124421,200,0
3587,-113.29217380320377,200,0
3787,-96.87211140790168,200,0
3987,-143.2569666674575,200,0
4187,-85.9561819718853,200,0
4387,-113.05273755269762,200,0
4587,-98.00368810429923,200,0
4787,-108.2155877343942,200,0
4987,-88.34343892295256,200,0
5187,-96.56686169822034,200,0
5387,-157.77453489149735,200,0
5587,-149.67301221952204,200,0
5787,-101.39089238158063,200,0
5987,-99.54467121410421,200,0
6187,-100.84418284485263,200,0
6387,-129.4109956086309,200,0
6587,-78.33871869525773,200,0
6787,-87.88025321395959,200,0
6987,-101.14615352091364,200,0
7187,-97.01317556907632,200,0
7387,-116.88552794545632,200,0
7587,-104.45746636293929,200,0
7787,-107.3005584883919,200,0
7987,-101.78210780991702,200,0
8187,-107.6553835723762,200,0
8387,-95.78426219889738,200,0
8432,-15.705242113820088,45,1
8632,-102.48655534457372,200,0
8832,-98.09682342229004,200,0
9032,-138.10248451448064,200,0
9170,-59.10785361013177,138,1
9370,-147.8917866829211,200,0
9570,-140.67921174841393,200,0
9770,-97.82061508817276,200,0
9970,-130.18512700210374,200,0
10170,-95.70009190284766,200,0
10370,-108.39906973264192,200,0
10570,-129.03576251258968,200,0
10770,-124.65968855696005,200,0
10970,-82.59062668494818,200,0
11170,-112.53779486259506,200,0
11370,-92.14297659408122,200,0
11570,-94.39394103371177,200,0
11770,-76.94745184764959,200,0
11802,-8.801776340765768,32,1
12002,-96.19212180257391,200,0
12202,-81.28714790652447,200,0
12402,-93.3168682982508,200,0
12602,-101.07865175735112,200,0
12802,-101.85559382316085,200,0
13002,-91.91541660658957,200,0
13202,-80.85446068045664,200,0
13402,-95.07481333321792,200,0
13602,-132.50175500456925,200,0
13802,-127.91138992433389,200,0
14002,-109.1004692701327,200,0
14202,-145.35753501862376,200,0
14402,-88.35585018731248,200,0
14602,-114.34356855354217,200,0
14802,-123.25572906685113,200,0
14834,-9.520178676089868,32,1
15034,-114.62878655121528,200,0
15234,-105.12714597749145,200,0
15434,-76.79784620406075,200,0
15634,-108.8138176392982,200,0
15834,-104.13579501314025,200,0
16034,-126.79984093848931,200,0
16234,-106.95129854025326,200,0
16434,-91.42913924719146,200,0
16634,-78.24278847053023,200,0
16834,-52.78444695529663,200,0
16884,-14.160780734170732,50,1
17084,-113.22532029971191,200,0
17284,-97.89680399959309,200,0
17484,-116.63553567347809,200,0
17684,-120.7145649380925,200,0
17884,-76.67462596533176,200,0
18084,-80.56370078233952,200,0
18284,-58.639162028881344,200,0
18484,-61.610860829352596,200,0
18684,-68.10311734075353,200,0
18884,-66.02486208978377,200,0
19072,-38.75604741389073,188,1
19272,-46.50683931548329,200,0
19472,-54.425595285629036,200,0
19672,-58.914361513029,200,0
19705,-8.612614036356797,33,1
19905,-54.65736294052697,200,0
20105,-61.327730664015846,200,0
20305,-69.229699015304,200,0
20505,-58.731911356391194,200,0
20705,-54.02147954870204,200,0
20734,-5.418000849923343,29,1
20934,-49.77960422009396,200,0
21134,-64.28855975890383,200,0
21334,-58.165157662194936,200,0
21534,-44.65122121574604,200,0
21570,-8.113161037714322,36,1
21770,-42.97411405748027,200,0
21970,-42.14404646793564,200,0
22170,-44.65962030221227,200,0
22370,-61.07187750616533,200,0
22531,-35.11292482277276,161,1
22731,-51.69198414313979,200,0
22893,-29.11033764448862,162,1
23093,-111.65879509192948,200,0
23293,-47.25427984600622,200,0
23323,-6.15166649158197,30,1
23523,-51.42606832001639,200,0
23552,-7.966488011010895,29,1
23752,-54.619483172389366,200,0
23780,-6.119956315402675,28,1
23957,-36.36786336948748,177,1
24045,-23.131093054080196,88,1
24201,-32.60432157886955,156,1
24229,-6.354329633610975,28,1
24429,-56.34288375077718,200,0
24629,-42.043350498810035,200,0
24829,-49.137725481662414,200,0
25007,-34.53356622579471,178,1
25034,-6.420887734924497,27,1
25064,-5.920579025246649,30,1
25135,-14.735525639622875,71,1
25229,-23.292639048979044,94,1
25307,-18.021683290790754,78,1
25380,-16.17347499732275,73,1
25428,-10.043576893532427,48,1
25481,-11.466702356391307,53,1
25681,-44.14642859447985,200,0
25785,-19.323272250734977,104,1
25985,-48.288623334521574,200,0
26021,-6.648984101459222,36,1
26090,-12.485603818505368,69,1
26290,-47.90096339179621,200,0
26490,-48.083554178609916,200,0
26690,-48.88908571971528,200,0
26890,-52.57342287595434,200,0
26942,-10.906738489691534,52,1
27142,-55.57725819228488,200,0
27208,-13.861867042365834,66,1
27237,-4.439769297474152,29,1
27437,-49.049829060045745,200,0
27475,-8.461413314250557,38,1
27511,-7.0428393943641385,36,1
27711,-43.270471155447886,200,0
27771,-12.713120393294465,60,1
