timesteps,episode_reward,episode_length
200,-92.211386,200.0
400,-169.611275,200.0
600,-102.751546,200.0
740,-64.354927,140.0
940,-137.196186,200.0
1140,-100.583722,200.0
1340,-139.332436,200.0
1540,-94.888658,200.0
1740,-89.716175,200.0
1940,-94.10928,200.0
2140,-78.159834,200.0
2340,-78.816484,200.0
2540,-80.100893,200.0
2740,-75.416107,200.0
2940,-98.924041,200.0
3140,-108.897219,200.0
3340,-90.461148,200.0
3540,-90.066035,200.0
3740,-101.258638,200.0
3940,-103.591649,200.0
4140,-102.435796,200.0
4340,-87.227486,200.0
4540,-64.40497,200.0
4740,-81.005852,200.0
4820,-24.990646,80.0
5020,-77.81192,200.0
5220,-78.580407,200.0
5420,-85.947761,200.0
5620,-107.352153,200.0
5820,-87.961427,200.0
5967,-46.556049,147.0
6167,-88.353307,200.0
6367,-84.370922,200.0
6567,-95.594968,200.0
6767,-94.291949,200.0
6967,-71.610275,200.0
7167,-80.877305,200.0
7367,-90.677373,200.0
7567,-89.387108,200.0
7767,-149.540828,200.0
7967,-92.895505,200.0
8167,-79.92582,200.0
8367,-78.323159,200.0
8567,-78.32899,200.0
8767,-86.177621,200.0
8967,-76.698664,200.0
9167,-84.928852,200.0
9367,-62.744905,200.0
9567,-99.668854,200.0
9767,-93.996352,200.0
9967,-86.431965,200.0
10167,-91.973349,200.0
10367,-70.052182,200.0
10438,-26.467422,71.0
10638,-84.504592,200.0
10838,-80.553829,200.0
11038,-84.720418,200.0
11238,-74.532471,200.0
11438,-86.180188,200.0
11638,-106.185484,200.0
11838,-74.507984,200.0
12038,-77.707196,200.0
12238,-88.341729,200.0
12438,-79.102489,200.0
12638,-79.657367,200.0
12810,-58.97848,172.0
13010,-80.057612,200.0
13210,-70.748883,200.0
13410,-74.505495,200.0
13610,-67.662063,200.0
13810,-72.512642,200.0
14010,-86.534673,200.0
14210,-75.536705,200.0
14410,-59.095664,200.0
14610,-73.405635,200.0
14810,-71.453419,200.0
15010,-81.332696,200.0
15210,-78.3622,200.0
15410,-74.200009,200.0
15610,-68.690108,200.0
15810,-70.066652,200.0
16010,-74.249231,200.0
16210,-76.745235,200.0
16410,-74.452894,200.0
16610,-74.711581,200.0
16810,-72.608801,200.0
17010,-65.136017,200.0
17067,-20.55457,57.0
17267,-66.735641,200.0
17467,-70.910318,200.0
17667,-73.774359,200.0
17867,-78.647497,200.0
18067,-76.084463,200.0
18267,-76.600424,200.0
18467,-84.323736,200.0
18667,-61.625826,200.0
18867,-73.999566,200.0
19067,-63.830999,200.0
19267,-83.25695,200.0
19467,-66.065406,200.0
19667,-75.239247,200.0
19867,-76.427579,200.0
20067,-87.129703,200.0
20120,-16.910969,53.0
20253,-39.969606,133.0
20453,-80.251969,200.0
20599,-39.538823,146.0
20799,-70.691651,200.0
20999,-67.981584,200.0
21199,-83.256593,200.0
21399,-76.466776,200.0
21599,-65.090016,200.0
21799,-70.464877,200.0
21999,-71.820027,200.0
22199,-74.214749,200.0
22265,-18.306065,66.0
22465,-63.415531,200.0
22649,-64.457238,184.0
22849,-65.824196,200.0
22978,-33.534536,129.0
23159,-45.858537,181.0
23359,-77.701388,200.0
23559,-66.414628,200.0
23759,-73.237129,200.0
23959,-76.999327,200.0
24159,-71.187322,200.0
24359,-62.361812,200.0
24424,-25.190653,65.0
24624,-73.956425,200.0
24824,-69.97353,200.0
25024,-63.09507,200.0
25224,-64.318699,200.0
25424,-68.448554,200.0
25499,-27.167544,75.0
25699,-69.345183,200.0
25899,-66.779639,200.0
26099,-69.114238,200.0
26299,-75.3916,200.0
26499,-69.873593,200.0
26553,-20.464087,54.0
26753,-71.105858,200.0
26953,-71.79325,200.0
27115,-54.596073,162.0
27267,-45.92298,152.0
27467,-69.694238,200.0
27667,-68.67971,200.0
27867,-74.910124,200.0
28067,-71.887676,200.0
28267,-72.369405,200.0
28413,-43.131578,146.0
28613,-79.95924,200.0
28813,-75.200505,200.0
29013,-69.910037,200.0
29138,-43.949805,125.0
29266,-39.704903,128.0
29405,-38.806722,139.0
29605,-62.335442,200.0
29805,-76.317364,200.0
30005,-61.728502,200.0
30205,-52.950332,200.0
30405,-68.456218,200.0
30605,-61.436307,200.0
30805,-78.584563,200.0
30862,-21.778907,57.0
31062,-61.059206,200.0
31262,-62.246833,200.0
31462,-72.977055,200.0
31662,-71.625009,200.0
31862,-69.461376,200.0
32062,-65.092979,200.0
32262,-64.186409,200.0
32462,-61.934917,200.0
32662,-78.249205,200.0
32862,-69.741424,200.0
33054,-55.623841,192.0
33254,-60.782006,200.0
33454,-67.914446,200.0
33578,-34.73256,124.0
33778,-57.113068,200.0
33978,-59.334456,200.0
34028,-15.674507,50.0
34228,-60.577681,200.0
34282,-16.420589,54.0
34482,-55.825925,200.0
34597,-34.112161,115.0
34797,-68.495723,200.0
34891,-28.500401,94.0
35091,-68.425544,200.0
35291,-67.262314,200.0
35432,-40.184356,141.0
35562,-36.012755,130.0
35762,-67.536891,200.0
35807,-17.716449,45.0
36007,-62.226813,200.0
36207,-69.506211,200.0
36407,-66.504775,200.0
36607,-56.696477,200.0
36661,-18.413586,54.0
36861,-59.850907,200.0
37061,-56.266473,200.0
37261,-59.389925,200.0
37461,-67.757953,200.0
37661,-65.947329,200.0
37861,-58.227873,200.0
38056,-55.302018,195.0
38248,-46.364556,192.0
38354,-33.810581,106.0
38554,-60.940757,200.0
38754,-62.737095,200.0
38954,-65.581686,200.0
39154,-61.613306,200.0
39354,-55.281478,200.0
39537,-42.541221,183.0
39737,-61.730954,200.0
39937,-67.653919,200.0
40137,-62.89941,200.0
40201,-23.997602,64.0
40401,-70.354331,200.0
40601,-70.906819,200.0
40801,-69.582236,200.0
40856,-15.647423,55.0
41056,-59.500984,200.0
41256,-53.252616,200.0
41456,-72.83765,200.0
41656,-67.949016,200.0
41856,-64.53675,200.0
42056,-61.20939,200.0
42256,-66.482801,200.0
42305,-15.86238,49.0
42505,-56.078866,200.0
42705,-69.39961,200.0
42905,-70.694006,200.0
43105,-62.449706,200.0
43305,-67.187654,200.0
43353,-14.706506,48.0
43553,-53.591619,200.0
43753,-67.151833,200.0
43953,-66.863832,200.0
44081,-33.375818,128.0
44241,-39.183243,160.0
44441,-50.865244,200.0
44541,-29.069785,100.0
44741,-54.703521,200.0
44941,-61.215537,200.0
45125,-45.171922,184.0
45303,-50.965055,178.0
45503,-57.411604,200.0
45703,-60.686979,200.0
45751,-16.049038,48.0
45951,-66.080216,200.0
46100,-43.407943,149.0
46300,-70.35616,200.0
46500,-63.065718,200.0
46700,-62.981219,200.0
46900,-60.73747,200.0
47100,-69.45378,200.0
47223,-29.322897,123.0
47423,-58.73893,200.0
47623,-76.101974,200.0
47680,-20.485094,57.0
47799,-30.394,119.0
47999,-57.52356,200.0
48199,-64.623714,200.0
48399,-63.050563,200.0
48446,-14.909092,47.0
48575,-34.04809,129.0
48637,-21.734529,62.0
48687,-16.344499,50.0
48731,-13.419681,44.0
48931,-54.304786,200.0
49131,-65.9106,200.0
49331,-57.817626,200.0
49531,-75.579206,200.0
49731,-51.353929,200.0
49931,-55.72297,200.0
49978,-12.214936,47.0
50178,-56.389658,200.0
50378,-67.799303,200.0
50578,-61.449692,200.0
50778,-57.351769,200.0
50978,-70.084974,200.0
51178,-52.266433,200.0
51378,-60.26498,200.0
51578,-53.312716,200.0
51778,-61.537067,200.0
51978,-61.238032,200.0
52178,-60.007119,200.0
52378,-70.121579,200.0
52578,-77.833041,200.0
52778,-56.651165,200.0
52823,-10.935003,45.0
53023,-74.050351,200.0
53223,-59.918002,200.0
53331,-33.188617,108.0
53531,-66.150342,200.0
53731,-58.028101,200.0
53931,-72.93355,200.0
54131,-54.542336,200.0
54331,-60.464267,200.0
54531,-58.339586,200.0
54634,-27.903009,103.0
54834,-57.98627,200.0
54992,-37.165098,158.0
55192,-71.411178,200.0
55241,-15.299838,49.0
55441,-61.79544,200.0
55489,-16.776346,48.0
55647,-43.667185,158.0
55847,-56.326059,200.0
56047,-61.657218,200.0
56247,-58.871943,200.0
56447,-54.455111,200.0
56647,-59.981813,200.0
56775,-40.069294,128.0
56821,-14.17244,46.0
57021,-58.593665,200.0
57221,-57.275133,200.0
57421,-68.869233,200.0
57517,-19.911505,96.0
57563,-12.964685,46.0
57763,-62.760659,200.0
57963,-60.289943,200.0
58163,-46.95363,200.0
58205,-11.420249,42.0
58340,-30.061158,135.0
58486,-33.532808,146.0
58598,-27.254437,112.0
58798,-57.878651,200.0
58914,-25.462519,116.0
58972,-15.771131,58.0
59172,-67.078411,200.0
59372,-48.028337,200.0
59572,-48.07174,200.0
59772,-67.980169,200.0
59972,-52.439487,200.0
60044,-24.384684,72.0
60148,-30.260967,104.0
60348,-49.054337,200.0
60393,-12.554644,45.0
60564,-44.284026,171.0
60764,-51.137821,200.0
60964,-57.76752,200.0
61029,-21.000432,65.0
61229,-54.57085,200.0
61429,-60.639434,200.0
61478,-15.904331,49.0
61598,-22.731783,120.0
61798,-52.786106,200.0
61998,-53.84484,200.0
62198,-61.293907,200.0
62288,-23.739121,90.0
62488,-52.484614,200.0
62688,-61.084061,200.0
62841,-27.375349,153.0
63041,-53.434552,200.0
63241,-43.548074,200.0
63441,-57.083755,200.0
63641,-50.039383,200.0
63841,-57.207108,200.0
63891,-14.113017,50.0
64091,-54.739479,200.0
64153,-21.346611,62.0
64271,-28.832284,118.0
64471,-61.953579,200.0
64533,-16.982942,62.0
64733,-69.621018,200.0
64933,-53.44302,200.0
64980,-14.358845,47.0
65180,-63.123953,200.0
65380,-56.048158,200.0
65580,-63.093651,200.0
65780,-54.50454,200.0
65980,-62.597141,200.0
66025,-11.466618,45.0
66145,-26.557278,120.0
66345,-51.861741,200.0
66545,-57.603193,200.0
66745,-59.726587,200.0
66945,-50.91396,200.0
67145,-66.707553,200.0
67345,-68.84884,200.0
67545,-42.761562,200.0
67745,-57.220759,200.0
67882,-35.971238,137.0
68052,-39.179645,170.0
68252,-58.218287,200.0
68310,-18.651846,58.0
68510,-59.435243,200.0
68710,-63.74554,200.0
68753,-12.422902,43.0
68953,-60.513259,200.0
68997,-11.717058,44.0
69045,-16.51452,48.0
69245,-60.492902,200.0
69298,-18.179044,53.0
69498,-62.466152,200.0
69543,-11.185479,45.0
69604,-15.466138,61.0
69804,-68.624807,200.0
69847,-12.391764,43.0
69907,-15.355194,60.0
70107,-48.313011,200.0
70261,-42.46644,154.0
70461,-47.511237,200.0
70508,-16.067643,47.0
70552,-10.498328,44.0
70592,-10.188571,40.0
