timesteps,episode_reward,episode_length
200,-97.011256,200.0
400,-79.327158,200.0
600,-101.072507,200.0
800,-105.753107,200.0
1000,-95.517045,200.0
1200,-113.123103,200.0
1400,-194.989933,200.0
1600,-135.358133,200.0
1800,-105.092517,200.0
2000,-150.839394,200.0
2200,-148.731492,200.0
2400,-108.275527,200.0
2600,-107.492391,200.0
2800,-164.008776,200.0
3000,-108.3738,200.0
3200,-125.13273,200.0
3400,-86.861867,200.0
3600,-112.914847,200.0
3669,-31.78957,69.0
3869,-129.96057,200.0
4069,-103.442799,200.0
4269,-130.649552,200.0
4368,-53.259631,99.0
4568,-154.340174,200.0
4768,-81.819964,200.0
4968,-105.669084,200.0
5168,-92.123714,200.0
5368,-191.871449,200.0
5568,-98.11851,200.0
5768,-96.745267,200.0
5968,-176.658616,200.0
6168,-92.623471,200.0
6368,-86.969782,200.0
6505,-55.11019,137.0
6705,-103.270896,200.0
6851,-41.973821,146.0
7051,-89.33152,200.0
7251,-96.957842,200.0
7451,-118.468409,200.0
7651,-93.33302,200.0
7851,-108.537122,200.0
8051,-115.564028,200.0
8251,-95.038518,200.0
8451,-92.222072,200.0
8651,-89.21924,200.0
8851,-88.043555,200.0
9051,-95.060554,200.0
9251,-93.391422,200.0
9341,-36.301764,90.0
9415,-33.921944,74.0
9615,-79.059019,200.0
9815,-79.688401,200.0
10015,-128.288437,200.0
10215,-93.508047,200.0
10415,-64.31747,200.0
10615,-100.714068,200.0
10815,-85.421224,200.0
11015,-63.230869,200.0
11215,-63.644502,200.0
11415,-71.607347,200.0
11615,-79.036582,200.0
11815,-77.223378,200.0
12015,-69.22177,200.0
12215,-75.139979,200.0
12415,-77.676803,200.0
12615,-95.46644,200.0
12815,-81.504649,200.0
13015,-58.001544,200.0
13215,-73.502006,200.0
13304,-24.57956,89.0
13504,-62.121463,200.0
13704,-67.688121,200.0
13904,-60.737275,200.0
14104,-57.818107,200.0
14304,-64.767845,200.0
14504,-61.270674,200.0
14704,-66.03265,200.0
14904,-60.437075,200.0
15104,-66.568719,200.0
15304,-74.136346,200.0
15504,-66.172856,200.0
15704,-79.264011,200.0
15904,-51.148535,200.0
15934,-6.118429,30.0
16134,-75.276546,200.0
16334,-56.273762,200.0
16368,-7.276195,34.0
16568,-62.908918,200.0
16621,-9.409843,53.0
16744,-21.173667,123.0
16944,-65.245857,200.0
17144,-61.095358,200.0
17182,-9.902601,38.0
17222,-12.934314,40.0
17422,-61.328498,200.0
17497,-17.134178,75.0
17697,-60.252744,200.0
17897,-56.354742,200.0
17936,-10.568875,39.0
17964,-4.339365,28.0
18077,-21.16472,113.0
18266,-38.756024,189.0
18450,-35.725111,184.0
18650,-47.690792,200.0
18742,-19.791974,92.0
18942,-49.066838,200.0
18979,-10.337947,37.0
19009,-6.583061,30.0
19057,-12.375431,48.0
19097,-8.32074,40.0
19297,-44.250058,200.0
19497,-66.378431,200.0
19597,-27.240996,100.0
19751,-31.142522,154.0
19951,-43.15828,200.0
20151,-60.972598,200.0
20351,-51.092482,200.0
20551,-64.025427,200.0
20751,-52.315653,200.0
20951,-56.349283,200.0
21151,-47.082547,200.0
21223,-15.425795,72.0
21298,-16.670049,75.0
21498,-56.683355,200.0
21695,-43.629475,197.0
21857,-37.568483,162.0
21953,-21.26815,96.0
22153,-51.009711,200.0
22353,-46.47668,200.0
22553,-56.126063,200.0
22720,-35.681169,167.0
22920,-51.872708,200.0
23120,-58.93805,200.0
23320,-51.064602,200.0
23375,-10.382316,55.0
23575,-53.010626,200.0
23775,-60.639026,200.0
23813,-9.783484,38.0
24013,-76.89042,200.0
24047,-8.529944,34.0
24122,-12.873228,75.0
24322,-51.456222,200.0
24430,-16.583424,108.0
24630,-66.261771,200.0
24811,-29.030491,181.0
24937,-21.643188,126.0
25137,-60.087885,200.0
25337,-65.807574,200.0
25537,-48.294618,200.0
25622,-15.482744,85.0
25822,-55.483847,200.0
25858,-9.357252,36.0
26058,-48.128623,200.0
26258,-44.486207,200.0
26458,-50.468352,200.0
26658,-54.368111,200.0
26858,-41.264195,200.0
27058,-62.995461,200.0
27092,-8.863235,34.0
27292,-53.825345,200.0
27492,-57.419251,200.0
27692,-44.553494,200.0
27727,-8.706002,35.0
27876,-27.936468,149.0
28076,-49.624274,200.0
28276,-53.968306,200.0
28310,-8.176231,34.0
28441,-22.837828,131.0
28641,-47.840741,200.0
28777,-25.99081,136.0
28977,-51.562068,200.0
29060,-19.63299,83.0
29260,-44.272309,200.0
29383,-25.780486,123.0
29417,-9.212778,34.0
29617,-55.579007,200.0
29648,-7.882842,31.0
29733,-20.073109,85.0
29933,-45.753268,200.0
30133,-45.892646,200.0
30333,-48.828172,200.0
30533,-44.493105,200.0
30733,-44.317883,200.0
30933,-40.440562,200.0
30973,-9.971578,40.0
31004,-7.242645,31.0
31038,-7.656568,34.0
31101,-13.291756,63.0
31129,-4.728273,28.0
31329,-47.828402,200.0
31403,-15.897788,74.0
31450,-11.652456,47.0
31650,-44.088877,200.0
31684,-7.256846,34.0
31739,-13.663824,55.0
31939,-37.42618,200.0
31989,-10.85193,50.0
32073,-14.231276,84.0
32111,-8.972515,38.0
32264,-24.453984,153.0
32360,-22.464117,96.0
32560,-40.62792,200.0
32595,-8.751542,35.0
32764,-28.105577,169.0
32846,-14.343783,82.0
33046,-61.67416,200.0
33161,-20.579997,115.0
33189,-4.17633,28.0
33220,-7.256212,31.0
33254,-8.257453,34.0
33454,-41.408788,200.0
33491,-9.190918,37.0
33577,-17.747572,86.0
33777,-38.018998,200.0
33830,-11.183866,53.0
33860,-7.405759,30.0
34001,-26.613432,141.0
34034,-8.862661,33.0
34234,-40.993129,200.0
34434,-39.695541,200.0
34475,-12.449891,41.0
34525,-11.387066,50.0
34725,-48.852607,200.0
34770,-12.011661,45.0
34911,-27.87715,141.0
